id,brand,model,model_name,screen_size,screen_type,resolution,refresh_rate,chipset,cpu_cores,gpu,ram,storage,storage_expandable,rear_camera_main,rear_camera_count,rear_camera_specs,front_camera,video,battery_capacity,charging_wired,charging_wireless,fast_charging,os,network_5g,sim_type,weight,dimensions,water_resistance,fingerprint,nfc,infrared,headphone_jack,launch_date,source,source_url,fetched_at
xiaomi_pocox7pro,Xiaomi,Poco X7 Pro,Poco X7 Pro,6.67英寸,AMOLED,2712x1220,120Hz,Dimensity 8400,8核,Immortalis-G720 MC7,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+8MP超广角,20MP,4K@60fps,6000mAh,90W,无,True,"Android 15, HyperOS 2",True,Nano-SIM,203g,160.8x75.2x8.3mm,IP68,屏下光学,True,True,False,2025-01,mi.com,,2026-08-06T13:41:56.388179+00:00
xiaomi_mixfold4,Xiaomi,MIX Fold 4,MIX Fold 4,7.98英寸,Foldable LTPO AMOLED,2488x2244,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,4摄,50MP主摄(OIS)+10MP长焦(3.2x)+10MP潜望长焦(5x)+12MP超广角,20MP,8K@24fps,5100mAh,67W,50W,True,"Android 14, HyperOS",True,Nano-SIM,219g,159.4x143.3x4.7mm(展开),无防水,侧边,True,True,False,2024-07,mi.com,,2026-08-06T13:41:56.388179+00:00
oneplus_ace3pro,OnePlus,Ace 3 Pro,Ace 3 Pro,6.78英寸,AMOLED,2780x1264,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,256GB,False,50MP,3摄,50MP主摄(OIS)+8MP超广角+2MP微距,16MP,4K@60fps,6100mAh,100W,无,True,"Android 14, ColorOS 14",True,Nano-SIM,220g,163.3x75.3x8.8mm,IP65,屏下光学,True,True,False,2024-06,oneplus.com,,2026-08-06T13:41:56.388179+00:00
oneplus_open,OnePlus,Open,Open,7.82英寸,Foldable LTPO3 AMOLED,2440x2268,120Hz,Snapdragon 8 Gen 2,8核,Adreno 740,16GB,512GB,False,48MP,3摄,"48MP主摄(OIS)+64MP长焦(3x,OIS)+48MP超广角",20MP,4K@60fps,4805mAh,67W,无,True,"Android 13, OxygenOS 13",True,Nano-SIM,239g,153.4x143.1x5.8mm(展开),IPX4,侧边,True,True,False,2023-10,oneplus.com,,2026-08-06T13:41:56.388179+00:00
huawei_nova13pro,Huawei,Nova 13 Pro,Nova 13 Pro,6.76英寸,OLED,2776x1224,120Hz,Kirin 9000SL,8核,Maleoon,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+12MP长焦(3x)+8MP超广角(微距),60MP,4K@30fps,4600mAh,100W,无,True,HarmonyOS 4.0,True,Nano-SIM,199g,163.3x74.7x7.8mm,IP53,屏下光学,True,True,False,2024-10,huawei.com,,2026-08-06T13:41:56.388179+00:00
motorola_edge50pro,Motorola,Edge 50 Pro,Edge 50 Pro,6.7英寸,P-OLED,2712x1220,144Hz,Snapdragon 7 Gen 3,8核,Adreno 720,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+13MP超广角,50MP,4K@30fps,4500mAh,125W,50W,True,Android 14,True,Nano-SIM+eSIM,186g,161.2x72.4x8.2mm,IP68,屏下光学,True,False,False,2024-04,motorola.com,,2026-08-06T13:41:56.388179+00:00
realme_12proplus,Realme,12 Pro+,12 Pro+,6.7英寸,AMOLED,2412x1080,120Hz,Snapdragon 7s Gen 2,8核,Adreno 710,8GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP潜望长焦(3x)+8MP超广角,32MP,4K@30fps,5000mAh,67W,无,True,"Android 14, Realme UI 5",True,Nano-SIM,196g,161.5x74x8.8mm,IP65,屏下光学,True,False,False,2024-01,realme.com,,2026-08-06T13:41:56.388179+00:00
sony_xperia5vi,Sony,Xperia 5 VI,Xperia 5 VI,6.1英寸,OLED,2520x1080,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,8GB,128GB,True,48MP,2摄,48MP主摄(OIS)+12MP超广角,12MP,4K@120fps,4500mAh,30W,15W,True,Android 14,True,Nano-SIM+eSIM,168g,154x68x8.2mm,IP68,侧边,True,False,True,2024-09,sony.com,,2026-08-06T13:41:56.388179+00:00
lenovo_legiony90,Lenovo,Legion Y90,Legion Y90,6.92英寸,AMOLED,2460x1080,144Hz,Snapdragon 8 Gen 1,8核,Adreno 730,18GB,512GB,False,64MP,2摄,64MP主摄+13MP超广角,16MP,4K@60fps,5600mAh,68W,无,True,Android 12,True,Nano-SIM,252g,176x78.5x10.1mm,无防水,屏下光学,True,False,True,2022-05,lenovo.com,,2026-08-06T13:41:56.388179+00:00
zte_axon50ultra,ZTE,Axon 50 Ultra,Axon 50 Ultra,6.67英寸,AMOLED,2400x1080,144Hz,Snapdragon 8+ Gen 1,8核,Adreno 730,12GB,256GB,False,64MP,3摄,64MP主摄(OIS)+50MP长焦(3x)+50MP超广角,32MP,4K@60fps,5000mAh,80W,无,True,Android 13,True,Nano-SIM,199g,161.5x73x8.5mm,IP54,屏下光学,True,False,False,2023-04,zte.com.cn,,2026-08-06T13:41:56.388179+00:00
nokia_x30,Nokia,X30 5G,X30 5G,6.43英寸,AMOLED,2400x1080,90Hz,Snapdragon 695,8核,Adreno 619,8GB,256GB,False,50MP,2摄,50MP主摄(OIS)+13MP超广角,16MP,1080p@60fps,4200mAh,33W,无,True,Android 12,True,Nano-SIM,185g,158.9x73.9x8mm,IP67,屏下光学,True,False,False,2022-09,nokia.com,,2026-08-06T13:41:56.388179+00:00
fairphone_5,Fairphone,Fairphone 5,Fairphone 5,6.46英寸,OLED,2700x1224,90Hz,Snapdragon QCM6490,8核,Adreno 643L,8GB,256GB,True,50MP,2摄,50MP主摄(OIS)+50MP超广角,50MP,4K@30fps,4200mAh,20W,无,False,Android 13,True,Nano-SIM+eSIM,212g,161.6x75.8x9.6mm,IP55,侧边,True,False,False,2023-08,fairphone.com,,2026-08-06T13:41:56.388179+00:00
unihertz_tank3,Unihertz,Tank 3,Tank 3,6.79英寸,IPS LCD,2460x1080,120Hz,Dimensity 8200,8核,Mali-G610 MC6,16GB,512GB,False,200MP,3摄,200MP主摄+50MP超广角+64MP夜视,32MP,4K@30fps,23800mAh,120W,无,True,Android 13,True,Nano-SIM,671g,179x86x31mm,IP69K,侧边,False,False,True,2024-04,unihertz.com,,2026-08-06T13:41:56.388179+00:00
cat_s75,Cat,S75,S75,6.6英寸,IPS LCD,2408x1080,120Hz,Dimensity 930,8核,IMG BXM-8-256,6GB,128GB,True,50MP,3摄,50MP主摄+8MP超广角+2MP微距,8MP,1080p@30fps,5000mAh,15W,无,False,Android 12,True,Nano-SIM+eSIM,268g,171x80x11.9mm,IP69/IP68,后置,True,False,True,2023-02,catphones.com,,2026-08-06T13:41:56.388179+00:00
tecno_camon30premier,Tecno,Camon 30 Premier,Camon 30 Premier,6.77英寸,LTPO AMOLED,2780x1264,120Hz,Dimensity 8200 Ultimate,8核,Mali-G610 MC6,12GB,512GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(3x)+50MP超广角,50MP,4K@60fps,5000mAh,70W,无,True,"Android 14, HiOS 14",True,Nano-SIM,198g,162.7x76.2x7.9mm,IP54,屏下光学,True,False,False,2024-02,tecno-mobile.com,,2026-08-06T13:41:56.388179+00:00
infinix_gt20pro,Infinix,GT 20 Pro,GT 20 Pro,6.78英寸,AMOLED,2436x1080,144Hz,Dimensity 8200 Ultimate,8核,Mali-G610 MC6,12GB,256GB,False,108MP,3摄,108MP主摄(OIS)+2MP微距+2MP景深,32MP,4K@60fps,5000mAh,100W,无,True,"Android 14, XOS 14",True,Nano-SIM,198g,164.3x74.5x8.2mm,IP54,屏下光学,True,False,True,2024-04,infinixmobility.com,,2026-08-06T13:41:56.388179+00:00
cmf_phone1,Nothing,CMF Phone 1,CMF Phone 1,6.67英寸,AMOLED,2400x1080,120Hz,Dimensity 7300,8核,Mali-G615 MC2,8GB,128GB,True,50MP,2摄,50MP主摄+2MP景深,16MP,4K@30fps,5000mAh,33W,无,True,"Android 14, Nothing OS 2.6",True,Nano-SIM,202g,164x77x8.2mm,IP52,屏下光学,False,False,False,2024-07,nothing.tech,,2026-08-06T13:41:56.388179+00:00
xiaomi_pocom7pro,Xiaomi,Poco M7 Pro,Poco M7 Pro,6.67英寸,AMOLED,2400x1080,120Hz,Dimensity 7025 Ultra,8核,IMG BXM-8-256,8GB,256GB,True,50MP,2摄,50MP主摄+2MP景深,20MP,1080p@30fps,5110mAh,45W,无,True,"Android 14, HyperOS",True,Nano-SIM,191g,162.3x74.3x8.2mm,IP64,屏下光学,True,True,True,2025-01,mi.com,,2026-08-06T13:41:56.388179+00:00
samsung_galaxyzflip6,Samsung,Galaxy Z Flip 6,Galaxy Z Flip 6,6.7英寸,Foldable Dynamic LTPO AMOLED 2X,2640x1080,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+12MP超广角,10MP,4K@60fps,4000mAh,25W,15W,True,Android 14,True,Nano-SIM+eSIM,187g,165.1x71.9x6.9mm(展开),IP48,侧边,True,False,False,2024-07,samsung.com,,2026-08-06T13:43:38.297215+00:00
samsung_galaxys24plus,Samsung,Galaxy S24+,Galaxy S24+,6.7英寸,Dynamic LTPO AMOLED 2X,3088x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,12MP,8K@30fps,4900mAh,45W,15W,True,Android 14,True,Nano-SIM+eSIM,196g,158.5x75.9x7.7mm,IP68,超声波屏下,True,False,False,2024-01,samsung.com,,2026-08-06T13:43:38.297215+00:00
apple_iphone15pro,Apple,iPhone 15 Pro,iPhone 15 Pro,6.1英寸,Super Retina XDR OLED,2556x1179,120Hz,A17 Pro,6核,Apple 6核GPU,8GB,128GB,False,48MP,3摄,48MP主摄(位移式OIS)+12MP超广角+12MP长焦(3x),12MP,4K@60fps,3274mAh,27W,15W(MagSafe),True,iOS 17,True,Nano-SIM+eSIM,187g,146.6x70.6x8.3mm,IP68,无,True,False,False,2023-09,apple.com,,2026-08-06T13:43:38.297215+00:00
google_pixel9profold,Google,Pixel 9 Pro Fold,Pixel 9 Pro Fold,8.0英寸,Foldable LTPO OLED,2076x2152,120Hz,Tensor G4,8核,Mali-G715,16GB,256GB,False,48MP,3摄,48MP主摄(OIS)+10.5MP长焦(5x)+12MP超广角,10MP,4K@60fps,4650mAh,21W,7.5W,True,Android 14,True,Nano-SIM+eSIM,257g,155.2x150.2x5.1mm(展开),IPX8,侧边,True,False,False,2024-08,store.google.com,,2026-08-06T13:43:38.297215+00:00
xiaomi_14pro,Xiaomi,14 Pro,14 Pro,6.73英寸,LTPO AMOLED,3200x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,"50MP主摄(可变光圈,OIS)+50MP长焦(3.2x)+50MP超广角",32MP,8K@24fps,4880mAh,120W,50W,True,"Android 14, HyperOS",True,Nano-SIM,223g,161.4x75.3x8.5mm,IP68,屏下光学,True,True,False,2023-10,mi.com,,2026-08-06T13:43:38.297215+00:00
vivo_iqoo12,vivo,iQOO 12,iQOO 12,6.78英寸,LTPO AMOLED,2800x1260,144Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP超广角+64MP潜望长焦(3x),16MP,8K@30fps,5000mAh,120W,无,True,"Android 14, OriginOS 4",True,Nano-SIM,203g,163.2x75.9x8.1mm,IP64,屏下光学,True,True,False,2023-11,vivo.com,,2026-08-06T13:43:38.297215+00:00
vivo_iqooneo10,vivo,iQOO Neo 10,iQOO Neo 10,6.78英寸,LTPO AMOLED,2800x1260,144Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+8MP超广角,16MP,4K@60fps,6100mAh,120W,无,True,"Android 14, OriginOS 4",True,Nano-SIM,204g,162.9x75.4x8.1mm,IP64,屏下光学,True,True,False,2024-10,vivo.com,,2026-08-06T13:43:38.297215+00:00
oppo_reno13,OPPO,Reno 13,Reno 13,6.67英寸,AMOLED,2712x1220,120Hz,Dimensity 8300,8核,Mali-G615 MC6,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+8MP超广角,50MP,4K@30fps,5600mAh,80W,无,True,"Android 14, ColorOS 14",True,Nano-SIM,184g,161.5x74.8x7.6mm,IP65,屏下光学,True,True,False,2024-11,oppo.com,,2026-08-06T13:43:38.297215+00:00
huawei_p60pro,Huawei,P60 Pro,P60 Pro,6.67英寸,LTPO OLED,2700x1220,120Hz,Snapdragon 8+ Gen 1,8核,Adreno 730,8GB,256GB,True,48MP,3摄,"48MP主摄(OIS)+48MP长焦(3.5x,微距)+13MP超广角",13MP,4K@60fps,4815mAh,88W,50W,True,HarmonyOS 3.1,False,Nano-SIM,200g,161x74.5x8.3mm,IP68,屏下光学,True,True,False,2023-03,huawei.com,,2026-08-06T13:43:38.297215+00:00
oneplus_12r,OnePlus,12R,12R,6.78英寸,LTPO4 AMOLED,2780x1264,120Hz,Snapdragon 8 Gen 2,8核,Adreno 740,8GB,128GB,False,50MP,3摄,50MP主摄(OIS)+8MP超广角+2MP微距,16MP,4K@60fps,5500mAh,100W,无,True,"Android 14, OxygenOS 14",True,Nano-SIM,207g,163.3x75.3x8.8mm,IP65,屏下光学,True,True,False,2024-02,oneplus.com,,2026-08-06T13:43:38.297215+00:00
motorola_g85,Motorola,G85 5G,G85 5G,6.67英寸,P-OLED,2400x1080,120Hz,Snapdragon 6s Gen 3,8核,Adreno 619,12GB,256GB,True,50MP,2摄,50MP主摄(OIS)+8MP超广角(微距),32MP,1080p@30fps,5000mAh,30W,无,True,Android 14,True,Nano-SIM+eSIM,173g,161.9x73.1x7.6mm,IP54,屏下光学,True,False,True,2024-07,motorola.com,,2026-08-06T13:43:38.297215+00:00
realme_c75,Realme,C75,C75,6.67英寸,IPS LCD,1604x720,90Hz,Helio G85,8核,Mali-G52 MC2,6GB,128GB,True,50MP,2摄,50MP主摄+2MP景深,8MP,1080p@30fps,6000mAh,15W,无,False,"Android 14, Realme UI 5",False,Nano-SIM,189g,165.6x76.1x8.1mm,IP54,侧边,False,False,True,2024-08,realme.com,,2026-08-06T13:43:38.297215+00:00
nothing_phone2,Nothing,Phone (2),Phone (2),6.7英寸,LTPO OLED,2412x1080,120Hz,Snapdragon 8+ Gen 1,8核,Adreno 730,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+50MP超广角,32MP,4K@60fps,4700mAh,45W,15W,True,"Android 13, Nothing OS 2.5",True,Nano-SIM,201g,162.1x76.4x8.6mm,IP54,屏下光学,True,False,False,2023-07,nothing.tech,,2026-08-06T13:43:38.297215+00:00
asus_zenfone11ultra,ASUS,Zenfone 11 Ultra,Zenfone 11 Ultra,6.78英寸,LTPO AMOLED,2400x1080,144Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,50MP主摄(云台OIS)+32MP长焦(3x)+13MP超广角,32MP,8K@24fps,5500mAh,65W,15W,True,Android 14,True,Nano-SIM,224g,163.8x76.8x8.9mm,IP68,屏下光学,True,False,True,2024-03,asus.com,,2026-08-06T13:43:38.297215+00:00
xiaomi_redminote13,Xiaomi,Redmi Note 13,Redmi Note 13,6.67英寸,AMOLED,2400x1080,120Hz,Dimensity 6080,8核,Mali-G57 MC2,6GB,128GB,True,108MP,3摄,108MP主摄+8MP超广角+2MP微距,16MP,1080p@30fps,5000mAh,33W,无,True,"Android 13, MIUI 14",True,Nano-SIM,174g,161.1x75x7.6mm,IP54,屏下光学,True,True,True,2023-09,mi.com,,2026-08-06T13:43:38.297215+00:00
samsung_galaxya15,Samsung,Galaxy A15,Galaxy A15,6.5英寸,Super AMOLED,2340x1080,90Hz,Helio G99,8核,Mali-G57 MC2,4GB,128GB,True,50MP,3摄,50MP主摄+5MP超广角+2MP微距,13MP,1080p@30fps,5000mAh,25W,无,True,Android 14,True,Nano-SIM,200g,160.1x76.8x8.4mm,无防水,侧边,True,False,True,2024-01,samsung.com,,2026-08-06T14:00:45.987585+00:00
samsung_galaxys24fe,Samsung,Galaxy S24 FE,Galaxy S24 FE,6.7英寸,Dynamic AMOLED 2X,2400x1080,120Hz,Exynos 2400e,10核,AMD Xclipse 940,8GB,128GB,False,50MP,3摄,50MP主摄(OIS)+8MP长焦(3x)+12MP超广角,10MP,8K@30fps,4700mAh,25W,15W,True,Android 14,True,Nano-SIM+eSIM,213g,162x77.3x8mm,IP68,屏下光学,True,False,False,2024-10,samsung.com,,2026-08-06T14:00:45.987585+00:00
apple_iphone14plus,Apple,iPhone 14 Plus,iPhone 14 Plus,6.7英寸,Super Retina XDR OLED,2778x1284,60Hz,A15 Bionic,6核,Apple 5核GPU,6GB,128GB,False,12MP,2摄,12MP主摄(位移式OIS)+12MP超广角,12MP,4K@60fps,4323mAh,20W,15W(MagSafe),True,iOS 16,True,Nano-SIM+eSIM,203g,160.8x78.1x7.8mm,IP68,无,True,False,False,2022-10,apple.com,,2026-08-06T14:00:45.987585+00:00
apple_iphone13,Apple,iPhone 13,iPhone 13,6.1英寸,Super Retina XDR OLED,2532x1170,60Hz,A15 Bionic,6核,Apple 4核GPU,4GB,128GB,False,12MP,2摄,12MP主摄(位移式OIS)+12MP超广角,12MP,4K@60fps,3240mAh,20W,15W(MagSafe),True,iOS 15,True,Nano-SIM+eSIM,174g,146.7x71.5x7.7mm,IP68,无,True,False,False,2021-09,apple.com,,2026-08-06T14:00:45.987585+00:00
xiaomi_pocof6,Xiaomi,Poco F6,Poco F6,6.67英寸,AMOLED,2712x1220,120Hz,Snapdragon 8s Gen 3,8核,Adreno 735,8GB,256GB,False,50MP,2摄,50MP主摄(OIS)+8MP超广角,20MP,4K@60fps,5000mAh,90W,无,True,"Android 14, HyperOS",True,Nano-SIM,179g,160.5x74.5x8mm,IP64,屏下光学,True,True,False,2024-05,mi.com,,2026-08-06T14:00:45.987585+00:00
xiaomi_civi5pro,Xiaomi,Civi 5 Pro,Civi 5 Pro,6.55英寸,AMOLED,2750x1236,120Hz,Snapdragon 8s Gen 3,8核,Adreno 735,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(2x)+12MP超广角,50MP,4K@60fps,4700mAh,67W,无,True,"Android 14, HyperOS",True,Nano-SIM,177g,157.2x72.8x7.5mm,IP54,屏下光学,True,True,False,2024-05,mi.com,,2026-08-06T14:00:45.987585+00:00
vivo_iqooz9turbo,vivo,iQOO Z9 Turbo,iQOO Z9 Turbo,6.78英寸,AMOLED,2800x1260,144Hz,Snapdragon 8s Gen 3,8核,Adreno 735,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+8MP超广角,16MP,4K@60fps,6000mAh,80W,无,True,Android 14,True,Nano-SIM,196g,163.7x75.9x8mm,IP64,屏下光学,True,True,False,2024-04,vivo.com,,2026-08-06T14:00:45.987585+00:00
honor_200pro,Honor,200 Pro,200 Pro,6.78英寸,AMOLED,2700x1224,120Hz,Snapdragon 8s Gen 3,8核,Adreno 735,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(2.5x)+12MP超广角,50MP,4K@30fps,5200mAh,100W,66W,True,"Android 14, MagicOS",True,Nano-SIM,186g,163.3x75.2x8.2mm,IP55,屏下光学,True,True,False,2024-05,honor.com,,2026-08-06T14:00:45.987585+00:00
nubia_redmagic10pro,ZTE,Red Magic 10 Pro,Red Magic 10 Pro,6.85英寸,AMOLED,2688x1216,144Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,3摄,50MP主摄(OIS)+50MP超广角+2MP微距,16MP(屏下),8K@30fps,6500mAh,165W,无,True,"Android 14, RedMagic OS",True,Nano-SIM,229g,164x76.4x8.9mm,IP54,屏下光学,True,False,True,2024-11,redmagic.gg,,2026-08-06T14:00:45.987585+00:00
motorola_edge50fusion,Motorola,Edge 50 Fusion,Edge 50 Fusion,6.67英寸,P-OLED,2400x1080,144Hz,Snapdragon 7s Gen 2,8核,Adreno 710,8GB,256GB,False,50MP,2摄,50MP主摄(OIS)+13MP超广角,32MP,4K@30fps,5000mAh,68W,无,True,Android 14,True,Nano-SIM,175g,161.9x73.1x7.9mm,IP68,屏下光学,True,False,False,2024-05,motorola.com,,2026-08-06T14:00:45.987585+00:00
huawei_pura70,Huawei,Pura 70,Pura 70,6.6英寸,LTPO OLED,2760x1256,120Hz,Kirin 9010,12核,Maleoon 910,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+12MP潜望长焦(5x)+13MP超广角,13MP,4K@60fps,4900mAh,66W,50W,True,HarmonyOS 4.2,True,Nano-SIM,207g,157.6x74.3x7.9mm,IP68,屏下光学,True,True,False,2024-04,huawei.com,,2026-08-06T14:00:45.987585+00:00
realme_gt6t,Realme,GT 6T,GT 6T,6.78英寸,LTPO AMOLED,2780x1264,120Hz,Snapdragon 7+ Gen 3,8核,Adreno 732,8GB,256GB,False,50MP,2摄,50MP主摄(OIS)+8MP超广角,32MP,4K@60fps,5500mAh,120W,无,True,Android 14,True,Nano-SIM,191g,162x75.1x8.7mm,IP65,屏下光学,True,False,False,2024-06,realme.com,,2026-08-06T14:00:45.987585+00:00
nothing_cmfphone1pro,Nothing,CMF Phone 1 Pro,CMF Phone 1 Pro,6.67英寸,AMOLED,2400x1080,120Hz,Dimensity 7200,8核,Mali-G610 MC4,8GB,256GB,True,50MP,2摄,50MP主摄(OIS)+50MP超广角,32MP,4K@30fps,5000mAh,33W,无,True,"Android 14, Nothing OS",False,Nano-SIM,189g,163x76x8mm,IP52,侧边,True,False,False,2024-07,nothing.tech,,2026-08-06T14:00:45.987585+00:00
oppo_a3pro,OPPO,A3 Pro,A3 Pro,6.7英寸,AMOLED,2412x1080,120Hz,Dimensity 7050,8核,Mali-G68,8GB,256GB,False,64MP,2摄,64MP主摄+2MP景深,8MP,1080p@30fps,5000mAh,67W,无,True,Android 14,True,Nano-SIM,182g,162.7x74.3x7.5mm,IP69/IP68/IP66(军工),屏下光学,True,True,False,2024-04,oppo.com,,2026-08-06T14:00:45.987585+00:00
huawei_nova12se,Huawei,Nova 12 SE,Nova 12 SE,6.67英寸,OLED,2400x1080,90Hz,Snapdragon 680,8核,Adreno 610,8GB,256GB,False,108MP,3摄,108MP主摄+8MP超广角+2MP微距,32MP,1080p@30fps,4500mAh,66W,无,True,HarmonyOS 4.0,False,Nano-SIM,186g,162.4x75.1x7.4mm,IP53,侧边,True,False,False,2024-03,huawei.com,,2026-08-06T14:00:45.987585+00:00
samsung_galaxyf55,Samsung,Galaxy F55,Galaxy F55,6.7英寸,Super AMOLED+,2400x1080,120Hz,Exynos 1480,8核,AMD Xclipse,8GB,128GB,True,50MP,3摄,50MP主摄(OIS)+8MP超广角+2MP微距,50MP,4K@30fps,5000mAh,45W,无,True,Android 14,True,Nano-SIM,180g,163.9x76.5x7.8mm,IP52,屏下光学,True,False,False,2024-07,samsung.com,,2026-08-06T14:00:45.987585+00:00
xiaomi_redmi14c,Xiaomi,Redmi 14C,Redmi 14C,6.88英寸,IPS LCD,1640x720,120Hz,Helio G81 Ultra,8核,Mali-G52,4GB,128GB,True,50MP,2摄,50MP主摄+2MP景深,13MP,1080p@30fps,5160mAh,18W,无,False,"Android 14, HyperOS",False,Nano-SIM,210g,171.9x77.8x8.2mm,无防水,侧边,True,False,True,2024-09,mi.com,,2026-08-06T14:00:45.987585+00:00
vivo_y200,vivo,Y200,Y200,6.67英寸,AMOLED,2400x1080,120Hz,Snapdragon 4 Gen 1,8核,Adreno 619,8GB,128GB,True,64MP,2摄,64MP主摄(OIS)+2MP景深,16MP,1080p@30fps,4800mAh,44W,无,True,Android 14,True,Nano-SIM,185g,163.6x75.6x7.6mm,IP54,屏下光学,True,False,False,2024-05,vivo.com,,2026-08-06T14:00:45.987585+00:00
samsung_galaxys25plus,Samsung,Galaxy S25+,Galaxy S25+,6.7英寸,Dynamic LTPO AMOLED 2X,3120x1440,120Hz,Snapdragon 8 Gen 4,8核,Adreno 760,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,12MP,8K@30fps,4900mAh,45W,25W,True,Android 15,True,Nano-SIM+eSIM,196g,158.4x76x7.6mm,IP68,超声波屏下,True,False,False,2025-01,samsung.com,,2026-08-06T14:00:45.987585+00:00
samsung_galaxys25edge,Samsung,Galaxy S25 Edge,Galaxy S25 Edge,6.6英寸,Dynamic LTPO AMOLED 2X,2400x1080,120Hz,Snapdragon 8 Gen 4,8核,Adreno 760,8GB,128GB,False,50MP,2摄,50MP主摄(OIS)+12MP超广角,12MP,4K@60fps,4400mAh,25W,15W,True,Android 15,True,Nano-SIM+eSIM,172g,158x73x6.4mm,IP68,超声波屏下,True,False,False,2025-04,samsung.com,,2026-08-06T14:00:45.987585+00:00
apple_iphonese3,Apple,iPhone SE 3,iPhone SE 3,4.7英寸,Retina IPS LCD,1334x750,60Hz,A15 Bionic,6核,Apple 4核GPU,4GB,64GB,False,12MP,1摄,12MP主摄(OIS),7MP,4K@60fps,2018mAh,20W,无,True,iOS 15,True,Nano-SIM+eSIM,144g,138.4x67.3x7.3mm,IP67,触控ID(Home键),True,False,False,2022-03,apple.com,,2026-08-06T14:00:45.987585+00:00
realme_14pro,Realme,14 Pro,14 Pro,6.77英寸,AMOLED,2780x1264,120Hz,Dimensity 8400,8核,Immortalis-G720,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(3x)+8MP超广角,32MP,4K@60fps,6000mAh,80W,无,True,Android 15,True,Nano-SIM,194g,162.7x74.3x8.2mm,IP69/IP68,屏下光学,True,False,False,2025-01,realme.com,,2026-08-06T14:00:45.987585+00:00
tecno_camon30pro,Tecno,Camon 30 Pro,Camon 30 Pro,6.78英寸,AMOLED,2436x1080,120Hz,Dimensity 8200 Ultimate,8核,Mali-G610,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+50MP超广角,50MP,4K@30fps,5000mAh,70W,无,True,Android 14,True,Nano-SIM,188g,163x76.3x7.7mm,IP54,屏下光学,True,False,True,2024-03,tecno-mobile.com,,2026-08-06T14:00:45.987585+00:00
xiaomi_pocom6pro5g,Xiaomi,Poco M6 Pro 5G,Poco M6 Pro 5G,6.79英寸,IPS LCD,2460x1080,90Hz,Snapdragon 4 Gen 2,8核,Adreno 613,6GB,128GB,True,50MP,2摄,50MP主摄+2MP景深,8MP,1080p@30fps,5000mAh,18W,无,False,Android 13,True,Nano-SIM,199g,168x78x8.2mm,IP53,侧边,False,False,True,2023-08,mi.com,,2026-08-06T14:01:52.831756+00:00
xiaomi_redmi13,Xiaomi,Redmi 13,Redmi 13,6.79英寸,IPS LCD,2460x1080,90Hz,Helio G91 Ultra,8核,Mali-G52,8GB,256GB,True,108MP,2摄,108MP主摄+2MP微距,13MP,1080p@30fps,5030mAh,33W,无,True,Android 14,False,Nano-SIM,205g,168.6x76.3x8.2mm,IP53,侧边,True,True,True,2024-06,mi.com,,2026-08-06T14:01:52.831756+00:00
realme_13proplus,Realme,13 Pro Plus,13 Pro Plus,6.7英寸,AMOLED,2400x1080,120Hz,Snapdragon 7s Gen 2,8核,Adreno 710,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP潜望长焦(3x)+8MP超广角,32MP,4K@30fps,5200mAh,80W,无,True,Android 15,True,Nano-SIM,185g,161.3x73.9x8.2mm,IP65,屏下光学,True,False,False,2024-12,realme.com,,2026-08-06T14:01:52.831756+00:00
